episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
0,2026-05-12T20:36:58.128,0.800000,0.000500,-1.800000,0,1,2.988,1.489268,-0.012258
1,2026-05-12T20:37:04.938,0.799950,0.000500,-1.600000,0,1,3.155,1.489268,-0.012258
2,2026-05-12T20:37:08.125,0.799900,0.000500,-1.600000,0,1,3.118,1.489268,-0.012258
3,2026-05-12T20:37:11.124,0.799850,0.000500,-1.600000,0,1,2.934,1.489268,-0.012258
4,2026-05-12T20:37:14.312,0.799800,0.000500,-1.600000,0,1,3.122,1.489268,-0.012258
5,2026-05-12T20:37:17.583,0.799750,0.000500,-1.600000,0,1,3.201,1.489268,-0.012258
6,2026-05-12T20:37:20.739,0.799700,0.000500,-1.600000,0,1,3.100,1.489268,-0.012258
0,2026-05-12T20:38:53.604,0.800000,0.000500,69.000000,1,9,18.041,3.923803,-0.028451
1,2026-05-12T20:38:57.995,0.799950,0.000500,69.000000,1,9,4.313,3.923803,-0.028451
2,2026-05-12T20:39:02.158,0.799900,0.000500,69.000000,1,9,4.098,3.923803,-0.028451
3,2026-05-12T20:39:06.322,0.799850,0.000500,69.000000,1,9,4.105,3.923803,-0.028451
4,2026-05-12T20:39:10.454,0.799800,0.000500,69.000000,1,9,4.072,3.923803,-0.028451
5,2026-05-12T20:39:19.842,0.799750,0.000500,69.000000,1,9,9.325,3.923803,-0.028451
6,2026-05-12T20:39:23.960,0.799700,0.000500,69.000000,1,9,4.057,3.923803,-0.028451
7,2026-05-12T20:39:28.176,0.799650,0.000500,69.000000,1,9,4.145,3.923803,-0.028451
0,2026-05-12T20:39:55.445,0.800000,0.000500,69.000000,1,9,8.223,3.923803,-0.028451
1,2026-05-12T20:39:59.936,0.799950,0.000500,69.000000,1,9,4.433,3.923803,-0.028451
2,2026-05-12T20:40:04.423,0.799900,0.000500,69.000000,1,9,4.418,3.923803,-0.028451
0,2026-05-12T20:43:22.437,0.800000,0.000500,35.599998,0,9,7.288,3.923803,-0.028451
1,2026-05-12T20:43:29.794,0.799950,0.000500,37.200001,0,9,7.276,3.923803,-0.028451
2,2026-05-12T20:43:37.084,0.799900,0.000500,37.200001,0,9,7.222,3.923803,-0.028451
3,2026-05-12T20:43:44.577,0.799850,0.000500,37.200001,0,9,7.427,3.923803,-0.028451
0,2026-05-12T20:44:56.176,0.800000,0.000500,35.799999,0,9,6.610,3.923803,-0.028451
1,2026-05-12T20:45:02.965,0.799950,0.000500,37.599998,0,9,6.719,3.923803,-0.028451
2,2026-05-12T20:45:09.607,0.799900,0.000500,37.599998,0,9,6.577,3.923803,-0.028451
3,2026-05-12T20:45:16.533,0.799850,0.000500,37.599998,0,9,6.863,3.923803,-0.028451
4,2026-05-12T20:45:23.334,0.799800,0.000500,37.599998,0,9,6.705,3.923803,-0.028451
5,2026-05-12T20:46:36.913,0.799750,0.000500,37.599998,0,9,73.502,3.923803,-0.028451
6,2026-05-12T20:46:48.673,0.799700,0.000500,37.599998,0,9,11.692,3.923803,-0.028451
7,2026-05-12T20:46:55.311,0.799650,0.000500,37.599998,0,9,6.565,3.923803,-0.028451
8,2026-05-12T20:47:02.099,0.799600,0.000500,37.599998,0,9,6.718,3.923803,-0.028451
